Powertrain;HEV;;;;
Region;Europe;;;;
;;;;;
Sum of Values2;Column Labels;;;;
Row Labels;AB;C;DE;SUV;Grand Total
2016;0,442659241;1,105375156;1,033862545;1,177643707;3,75954065
2017;0,501014637;1,167673733;1,006952811;1,096737214;3,772378395
2018;0,507679433;1,165533335;1,021378613;1,085242239;3,779833619
2019;0,517044101;1,148666193;1,01862505;1,087721455;3,772056798
2020;0,526801871;1,124956138;1,016810575;1,093602974;3,762171558
2021;0,521553644;1,110293612;1,029743971;1,099145715;3,760736942
2022;0,51568127;1,096949315;1,044089713;1,104258281;3,760978579
2023;0,50979732;1,083685866;1,059130171;1,109538055;3,762151411
2024;0,50648141;1,069726093;1,070278592;1,115464194;3,761950289
2025;0,503943072;1,05737575;1,080057606;1,120771651;3,762148078
2026;0,503552701;1,041637542;1,086595784;1,128294085;3,760080112
2027;0,503162935;1,026360964;1,093213603;1,13591818;3,758655682
2028;0,502773771;1,011526001;1,099912526;1,143646011;3,757858309
2029;0,502385209;0,997113774;1,106694054;1,15147971;3,757672747
2030;0,501997247;0,983106469;1,113559723;1,159421466;3,758084906
2031;0,505489008;0,977981651;1,111298495;1,161341663;3,756110817
2032;0,509029684;0,972909986;1,109046432;1,163268231;3,754254333
2033;0,512620311;0,967890651;1,106803478;1,165201201;3,752515641
2034;0,516261954;0,962922841;1,104569578;1,167140607;3,750894979
2035;0,519955707;0,958005766;1,102344677;1,169086478;3,749392628
2036;0,523702697;0,953138653;1,100128722;1,17103885;3,748008921
2037;0,527504083;0,948320745;1,097921657;1,172997752;3,746744238
2038;0,531361059;0,943551299;1,095723431;1,17496322;3,745599009
2039;0,535274853;0,938829587;1,093533989;1,176935285;3,744573714
2040;0,539246729;0,934154896;1,09135328;1,178913982;3,743668887
2041;0,543277991;0,929526528;1,089181251;1,180899342;3,742885112
2042;0,54736998;0,924943797;1,08701785;1,182891401;3,742223029
2043;0,551524079;0,920406032;1,084863027;1,184890192;3,741683331
2044;0,555741713;0,915912574;1,082716729;1,18689575;3,741266766
2045;0,56002435;0,911462778;1,080578908;1,188908108;3,740974144
2046;0,564373505;0,907056009;1,078449512;1,190927302;3,740806328
2047;0,568790741;0,902691647;1,076328492;1,192953366;3,740764245
2048;0,573277667;0,898369083;1,074215798;1,194986335;3,740848883
2049;0,577835946;0,89408772;1,072111382;1,197026245;3,741061293
2050;0,582467295;0,88984697;1,070015195;1,199073132;3,741402592
Grand Total;18,41165721;34,84198915;37,68910722;40,40922338;131,351977
